Feature,Importance
ploidy_classification,0.35949748375841845
modal chromosome number,0.17274700356669687
SV_sum_all_events,0.16226158979811514
marker chromosomes (average #),0.03825511765113016
XY_chromosomes,0.03259253569705074
modal_range_numeric,0.02679526529853598
TRANS_18,0.014118344030710463
ADD_7,0.013497223967619739
DIC_13,0.007247493577405155
ADD_2,0.005994761578691179
ADD_5,0.005584534524285284
ISO_12,0.005403095059204759
ADD_10,0.005195411031367141
TRANS_6,0.005100055464180013
DER_7,0.00508061190260529
DEL_19,0.004706712827648001
chr_19_gains,0.004471947614043014
DEL_6,0.004296132308857814
INS_17,0.004171824553176515
TRANS_17,0.003726486547837674
chr_15_loss,0.00344724292378202
DIC_9,0.003374133860801426
DUP_3,0.003216540523958054
chr_6_gains,0.0029211834672138396
chr_7_gains,0.002908107515313617
DEL_18,0.0028494995045855683
chr_13_gains,0.002778270508264533
ADD_22,0.002484464312815024
INS_2,0.0024660324141104178
DUP_4,0.002360100487672811
INS_8,0.0023199815069334458
DER_12,0.0023195096672999254
ADD_3,0.0022953421272270467
ADD_21,0.0022358363815857124
DIC_11,0.00210241426622185
TRANS_21,0.002065446896135948
DER_2,0.002037733287425857
TRANS_1,0.0019279209314591943
DEL_8,0.001916061374038553
chr_9_gains,0.0018481334686833502
chr_2_gains,0.0018292002673363829
DEL_14,0.0017897473817553434
chr_7_loss,0.001746176157277244
ADD_12,0.0016949631603900555
INS_1,0.0016841867398633996
chr_11_loss,0.0016084195880962052
chr_5_gains,0.001586773797124386
chr_22_gains,0.00154574315255921
ISO_15,0.00151620813762622
DEL_4,0.0015124042894779249
chr_5_loss,0.001378523036855154
DER_1,0.0013769446452746796
INV_2,0.001373419479799687
DUP_11,0.001372362708502759
INS_3,0.0013650441633291856
DUP_9,0.001340664280500991
DEL_12,0.0013126946412235804
DER_10,0.0013064504382035568
DER_13,0.0013058858749249054
chr_21_loss,0.0012439497637638476
TRANS_12,0.0012154841945538292
DIC_1,0.0011736521275435984
ADD_13,0.0011302368672824908
DER_22,0.001101949752805568
chr_18_gains,0.0010475690718644295
chr_3_gains,0.000992872824306443
chr_12_gains,0.00093806021860018
ADD_15,0.0009374846655771487
chr_4_loss,0.0009292936167141646
ADD_1,0.0009037595247107033
DER_6,0.0008962467293406177
DUP_1,0.0008954644365434528
TRANS_10,0.0008688255970296678
ADD_8,0.000859946399917424
chr_8_gains,0.0008315130511231763
ISO_1,0.0008263891140869622
chr_14_gains,0.0008092441357201873
chr_4_gains,0.000800708556918616
DIC_20,0.0007298095333687655
chr_10_loss,0.0007059835317060013
chr_13_loss,0.0006974062541077849
DEL_10,0.0006971987899030288
chr_1_gains,0.000692214203416793
DEL_5,0.0006800280382596511
ISO_5,0.0006586523152870525
DER_16,0.0006573480979855165
ISO_4,0.0006470480700186
chr_17_gains,0.0006256521316252609
DEL_7,0.0006226883023650071
chr_14_loss,0.0005971288667446215
ADD_9,0.000578658910237488
INV_11,0.0005558491457660287
DEL_21,0.0005525744660404661
DIC_16,0.0005506685827256113
chr_20_loss,0.0005496697682873933
chr_1_loss,0.000548807905272351
chr_9_loss,0.0005463103581393222
DER_19,0.0005267222545494012
DER_18,0.0005107055281833363
DUP_12,0.0005089781424971241
ADD_14,0.0005033073762054763
ISO_7,0.00047999361944568296
DIC_6,0.0004761424769450729
TRANS_3,0.00046851925153675565
TRANS_15,0.000448329080352683
chr_6_loss,0.0004007033607586194
DER_21,0.00039511975378399235
ADD_20,0.0003875823943111531
chr_17_loss,0.0003285780321990676
ADD_19,0.0003230165493830415
DEL_11,0.00031916832046381157
INV_12,0.0003153200875316382
DIC_8,0.00027382049293239236
chr_12_loss,0.000273787466413833
DER_4,0.0002710894940324679
DER_17,0.0002623945351891792
chr_16_loss,0.00025729631663478866
ISO_6,0.00024553048006770763
chr_15_gains,0.0002450088159853201
ADD_17,0.00024260391631837234
DER_3,0.00020509882306671777
DEL_15,0.0001978638699711689
TRANS_9,0.00018166976416300864
ISO_3,0.00018081938584749
chr_16_gains,0.00016013462744052449
DUP_2,0.00015947879994074153
ISO_17,0.00013077285885309224
DER_5,0.0001288942627513224
DEL_13,0.00012073188219458676
DEL_3,0.00010984030983929913
DER_15,0.00010589103875801422
DUP_7,8.181253851269328e-05
TRANS_7,7.282938267426588e-05
INV_14,4.7063770224870516e-05
DIC_3,4.249090629092414e-05
ADD_6,2.1391455715343343e-05
DEL_17,1.3296357925663532e-05
DEL_9,6.397267246149488e-06
chr_18_loss,3.5718598441620964e-06
chr_3_loss,3.329477321074825e-06
ISO_8,1.221535773228034e-06
chr_19_loss,9.67951059634358e-07
ADD_11,8.823740308285191e-07
DEL_1,7.140989934044804e-08
ADD_4,1.2559068390401612e-08
DER_8,1.7429789932454667e-09
